"WatchList","HostAddress","ReasonAdded","MemberSince","Latitude","Longitude","CountryCode","Location"
"abuse.ch ZeuS Tracker IP Watchlist","59.157.4.2","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","35.8532","139.513","JP","Oi, Japan"
"abuse.ch ZeuS Tracker IP Watchlist","60.13.186.5","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","43.8043","87.5825","CN","Urumqi, China"
"abuse.ch ZeuS Tracker IP Watchlist","60.241.184.209","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","-33.8383","151.206","AU","North Sydney, Australia"
"abuse.ch ZeuS Tracker IP Watchlist","63.249.152.74","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","32.8141","-96.8796","US","Dallas, United States"
"abuse.ch ZeuS Tracker IP Watchlist","64.85.233.8","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","37.9628","-121.963","US","Concord, United States"
"abuse.ch ZeuS Tracker IP Watchlist","64.127.71.73","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","40.7134","-111.889","US","Salt Lake City, United States"
"abuse.ch ZeuS Tracker IP Watchlist","64.182.6.61","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","32.86","-97.2934","US","Ft Worth, United States"
"abuse.ch ZeuS Tracker IP Watchlist","66.7.198.165","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","28.5384","-81.3747","US","Orlando, United States"
"abuse.ch ZeuS Tracker IP Watchlist","66.116.153.142","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","39.9367","-83.1944","US","Galloway, United States"
"abuse.ch ZeuS Tracker IP Watchlist","67.214.175.69","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","41.6655","-86.3223","US","South Bend, United States"
"abuse.ch ZeuS Tracker IP Watchlist","78.138.104.167","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","50.871","6.86811","DE","Hurth, Germany"
"abuse.ch ZeuS Tracker IP Watchlist","80.65.93.241","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","43.8564","18.4134","BA","Sarajevo, Bosnia and Herzegovina"
"abuse.ch ZeuS Tracker IP Watchlist","80.78.250.26","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","55.9478","37.4114","RU","Khimki, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","82.221.113.145","ZeuS Tracker IP Blocklist","2018-10-13T00:55:03Z","64.1422","-21.9432","IS","Reykjavik, Iceland"
"abuse.ch ZeuS Tracker IP Watchlist","82.221.129.19","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","64.1422","-21.9432","IS","Reykjavik, Iceland"
"abuse.ch ZeuS Tracker IP Watchlist","82.221.136.4","ZeuS Tracker IP Blocklist","2018-10-16T00:55:04Z","64.1422","-21.9432","IS","Reykjavik, Iceland"
"abuse.ch ZeuS Tracker IP Watchlist","83.69.233.121","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","55.79","37.6282","RU","Moscow, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","83.212.117.233","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","37.9843","23.7265","GR","Athens, Greece"
"abuse.ch ZeuS Tracker IP Watchlist","84.38.132.16","ZeuS Tracker IP Blocklist","2018-10-02T00:55:03Z","56.9278","24.0277","LV","Riga, Latvia"
"abuse.ch ZeuS Tracker IP Watchlist","87.236.210.110","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","53.4804","-2.24726","UK","Manchester, UK"
"abuse.ch ZeuS Tracker IP Watchlist","87.236.210.124","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","53.4804","-2.24726","UK","Manchester, UK"
"abuse.ch ZeuS Tracker IP Watchlist","87.237.198.245","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","26.216","50.584","BH","Manama, Bahrain"
"abuse.ch ZeuS Tracker IP Watchlist","87.246.143.242","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","56.9278","24.0277","LV","Riga, Latvia"
"abuse.ch ZeuS Tracker IP Watchlist","87.254.167.37","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","43.0786","25.6272","BG","Veliko Turnovo, Bulgaria"
"abuse.ch ZeuS Tracker IP Watchlist","89.108.85.65","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","55.7616","37.6411","RU","Moscow, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","89.223.26.52","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","59.939","30.3158","RU","St Petersburg, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","89.252.186.142","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","36.9996","35.324","TR","Adana, Turkey"
"abuse.ch ZeuS Tracker IP Watchlist","91.107.119.3","ZeuS Tracker IP Blocklist","2018-10-11T00:55:03Z","55.6839","37.8811","RU","Lyubertsy, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","91.108.176.118","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","59.3289","18.0649","SE","Stockholm, Sweden"
"abuse.ch ZeuS Tracker IP Watchlist","91.195.240.117","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","50.9392","6.95684","DE","Cologne, Germany"
"abuse.ch ZeuS Tracker IP Watchlist","91.236.75.11","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","52.1884","21.0116","PL","Warsaw, Poland"
"abuse.ch ZeuS Tracker IP Watchlist","93.157.63.185","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","55.626","37.8492","RU","Dzerzhinsky, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","94.103.36.55","ZeuS Tracker IP Blocklist","2018-07-22T00:55:04Z","39.929","32.8537","TR","Ankara, Turkey"
"abuse.ch ZeuS Tracker IP Watchlist","101.200.81.187","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","31.2382","121.469","CN","Hangzhou, China"
"abuse.ch ZeuS Tracker IP Watchlist","103.4.52.150","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","-6.39","106.8","ID","Depok, Indonesia"
"abuse.ch ZeuS Tracker IP Watchlist","103.7.59.135","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","13.733","100.5","TH","Bangkok, Thailand"
"abuse.ch ZeuS Tracker IP Watchlist","103.19.89.118","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","12.9706","77.6002","IN","Bangalore, India"
"abuse.ch ZeuS Tracker IP Watchlist","103.230.84.239","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","12.9738","77.7361","IN","Whitefield, India"
"abuse.ch ZeuS Tracker IP Watchlist","104.247.219.41","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","33.8314","-84.3851","US","Atlanta, United States"
"abuse.ch ZeuS Tracker IP Watchlist","109.127.8.242","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","40.367","49.883","AZ","Baku, Azerbaijan"
"abuse.ch ZeuS Tracker IP Watchlist","109.229.36.65","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","55.7616","37.6411","RU","Moscow, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","109.229.210.250","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","56.9278","24.0277","LV","Riga, Latvia"
"abuse.ch ZeuS Tracker IP Watchlist","113.29.230.24","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","37.5632","126.993","KR","Seoul, South Korea"
"abuse.ch ZeuS Tracker IP Watchlist","120.31.134.133","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","23.022","113.122","CN","Foshan, China"
"abuse.ch ZeuS Tracker IP Watchlist","120.63.157.195","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","19.2317","72.8184","IN","Mumbai, India"
"abuse.ch ZeuS Tracker IP Watchlist","124.110.195.160","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","34.7379","135.346","JP","Nishinomiya, Japan"
"abuse.ch ZeuS Tracker IP Watchlist","128.210.157.251","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","40.3687","-86.878","US","West Lafayette, United States"
"abuse.ch ZeuS Tracker IP Watchlist","141.8.226.58","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","47.2944","8.56345","CH","Thalwil, Switzerland"
"abuse.ch ZeuS Tracker IP Watchlist","151.97.190.239","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","37.5116","15.0969","IT","Catania, Italy"
"abuse.ch ZeuS Tracker IP Watchlist","162.223.94.56","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","32.8847","-111.961","US","Stanfield, United States"
"abuse.ch ZeuS Tracker IP Watchlist","176.107.179.60","ZeuS Tracker IP Blocklist","2018-10-19T00:55:02Z","49.1032","33.4301","UA","Kremenchuk, Ukraine"
"abuse.ch ZeuS Tracker IP Watchlist","177.4.23.159","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","-30.0327","-51.1454","BR","Porto Alegre, Brazil"
"abuse.ch ZeuS Tracker IP Watchlist","180.182.234.200","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","37.5632","126.993","KR","Seoul, South Korea"
"abuse.ch ZeuS Tracker IP Watchlist","185.6.242.251","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","42.9809","13.3619","IT","Amandola, Italy"
"abuse.ch ZeuS Tracker IP Watchlist","185.35.138.22","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","51.5043","3.8915","NL","Goes, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","185.165.170.80","ZeuS Tracker IP Blocklist","2018-09-13T00:55:02Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","187.174.252.247","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","17.0597","-96.7314","MX","Oaxaca, Mexico"
"abuse.ch ZeuS Tracker IP Watchlist","187.191.98.202","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","-23.5337","-46.6289","BR","Sao Paulo, Brazil"
"abuse.ch ZeuS Tracker IP Watchlist","188.219.154.228","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","43.5394","10.7931","IT","Peccioli, Italy"
"abuse.ch ZeuS Tracker IP Watchlist","188.241.140.212","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","47.6537","23.5485","RO","Baia Mare, Romania"
"abuse.ch ZeuS Tracker IP Watchlist","188.241.140.222","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","47.6537","23.5485","RO","Baia Mare, Romania"
"abuse.ch ZeuS Tracker IP Watchlist","188.241.140.224","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","47.6537","23.5485","RO","Baia Mare, Romania"
"abuse.ch ZeuS Tracker IP Watchlist","188.247.135.53","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","44.4599","26.1333","RO","Bucharest, Romania"
"abuse.ch ZeuS Tracker IP Watchlist","188.247.135.58","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","44.4599","26.1333","RO","Bucharest, Romania"
"abuse.ch ZeuS Tracker IP Watchlist","188.247.135.74","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","44.4599","26.1333","RO","Bucharest, Romania"
"abuse.ch ZeuS Tracker IP Watchlist","188.247.135.99","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","44.4599","26.1333","RO","Bucharest, Romania"
"abuse.ch ZeuS Tracker IP Watchlist","190.15.192.25","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","-32.8927","-68.8331","AR","Mendoza, Argentina"
"abuse.ch ZeuS Tracker IP Watchlist","190.128.29.1","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","4.819","-75.715","CO","Pereira, Colombia"
"abuse.ch ZeuS Tracker IP Watchlist","192.99.19.4","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","45.505","-73.5721","CA","Montreal, Canada"
"abuse.ch ZeuS Tracker IP Watchlist","192.99.148.26","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","45.505","-73.5721","CA","Montreal, Canada"
"abuse.ch ZeuS Tracker IP Watchlist","193.107.19.24","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","-4.617","55.444","SC","Victoria, Seychelles"
"abuse.ch ZeuS Tracker IP Watchlist","193.107.19.244","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","-4.617","55.444","SC","Victoria, Seychelles"
"abuse.ch ZeuS Tracker IP Watchlist","193.146.210.69","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","42.2314","-8.71245","ES","Vigo, Spain"
"abuse.ch ZeuS Tracker IP Watchlist","194.109.64.131","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","194.226.41.11","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","55.7616","37.6411","RU","Moscow, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","195.20.41.205","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","195.20.41.233","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","195.20.42.1","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","195.20.44.100","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","195.20.44.109","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","195.20.44.252","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","195.20.53.157","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"abuse.ch ZeuS Tracker IP Watchlist","198.54.117.200","ZeuS Tracker IP Blocklist","2018-07-28T00:55:02Z","40.4004","-74.3246","US","Old Bridge, United States"
"abuse.ch ZeuS Tracker IP Watchlist","199.7.234.100","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","43.6796","-79.4343","CA","Toronto, Canada"
"abuse.ch ZeuS Tracker IP Watchlist","199.187.129.193","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","33.9933","-118.465","US","Venice, United States"
"abuse.ch ZeuS Tracker IP Watchlist","199.201.121.185","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","45.6107","-73.5766","CA","Anjou, Canada"
"abuse.ch ZeuS Tracker IP Watchlist","201.149.83.183","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","19.4","-99.15","MX","Mexico City, Mexico"
"abuse.ch ZeuS Tracker IP Watchlist","202.29.22.38","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","16.2029","103.277","TH","Talat, Thailand"
"abuse.ch ZeuS Tracker IP Watchlist","202.29.230.198","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","12.2184","102.497","TH","Nong Samet, Thailand"
"abuse.ch ZeuS Tracker IP Watchlist","202.67.13.107","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","-6.133","106.75","ID","Jakarta, Indonesia"
"abuse.ch ZeuS Tracker IP Watchlist","202.144.144.195","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","27.447","89.674","BT","Thimphu, Bhutan"
"abuse.ch ZeuS Tracker IP Watchlist","203.170.193.23","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","13.7359","100.527","TH","Bangkok, Thailand"
"abuse.ch ZeuS Tracker IP Watchlist","209.164.84.70","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","32.8141","-96.8796","US","Dallas, United States"
"abuse.ch ZeuS Tracker IP Watchlist","210.4.76.221","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","23.717","90.367","BD","Dhaka, Bangladesh"
"abuse.ch ZeuS Tracker IP Watchlist","210.245.8.131","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","21.017","105.867","VN","Hanoi, Vietnam"
"abuse.ch ZeuS Tracker IP Watchlist","212.1.215.117","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","35.5835","-82.6078","US","Asheville, United States"
"abuse.ch ZeuS Tracker IP Watchlist","212.44.64.202","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","54.5848","22.1984","RU","Gusev, Russia"
"abuse.ch ZeuS Tracker IP Watchlist","213.147.67.20","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","-1.285","36.815","KE","Nairobi, Kenya"
"abuse.ch ZeuS Tracker IP Watchlist","216.176.100.240","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","38.6232","-87.0449","US","Montgomery, United States"
"abuse.ch ZeuS Tracker IP Watchlist","216.215.112.149","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","29.7421","-95.306","US","Houston, United States"
"abuse.ch ZeuS Tracker IP Watchlist","216.218.135.114","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","37.5173","-121.93","US","Fremont, United States"
"abuse.ch ZeuS Tracker IP Watchlist","222.29.197.232","ZeuS Tracker IP Blocklist","2018-07-22T00:55:03Z","39.9576","116.336","CN","Beijing, China"
"CTU Malicious IP Watchlist","5.79.127.177","IP hosting known COBALT TRINITY C2 domain (mypsh.ddns[.]net) (APT Activity)","2018-10-01T12:18:07Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","5.149.248.17","Possible QuasarRAT IP C2 associated with BRONZE RIVERSIDE (APT activity)","2018-08-01T17:09:12Z","52.5","5.75","NL","N/A, Netherlands"
"CTU Malicious IP Watchlist","23.163.0.59","Malicious IP address associated with XTUNNEL malware used by APT group IRON TWILIGHT","2018-10-05T08:35:16Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","27.255.74.81","RatN C2 associated with BRONZE HUNTLEY (APT Activity)","2018-08-17T16:12:52Z","37.5632","126.993","KR","Seoul, South Korea"
"CTU Malicious IP Watchlist","37.1.211.165","GOLD KINGSWOOD C2","2018-09-07T04:35:57Z","41.7775","-87.7093","US","Chicago, United States"
"CTU Malicious IP Watchlist","38.132.124.250","C2 reported by VnCERT; likely NICKEL GLADSTONE","2018-07-27T00:14:29Z","41.7775","-87.7093","US","Chicago, United States"
"CTU Malicious IP Watchlist","45.32.176.92","C2 infrastructure for LURID APT Malware (APT Activity)","2017-12-01T14:44:55Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","45.32.181.255","C2 infrastructure for LURID APT Malware (APT Activity)","2017-12-01T14:44:54Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","45.32.183.39","C2 infrastructure for LURID APT Malware (APT Activity)","2017-12-01T14:44:54Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","45.56.88.254","C2 for RoyalCLI (aka RoyalTroj) malware (APT Activity)","2017-12-01T14:33:24Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","45.63.41.200","C2 infrastructure for LURID APT Malware (APT Activity)","2017-12-01T14:44:54Z","40.4127","-74.2525","US","Matawan, United States"
"CTU Malicious IP Watchlist","45.76.102.145","BRONZE CANAL/PLEAD/TSCookie infrastructure reported by JP-CERT on March 2018","2018-07-12T20:03:34Z","0.0","0.0","N/A","N/A"
"CTU Malicious IP Watchlist","45.118.133.60","C2 for RoyalCLI (aka RoyalTroj) malware (APT Activity)","2017-12-01T14:33:24Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","45.124.132.127","Malicious IP address associated with ZEBROCY malware used by APT group IRON TWILIGHT","2018-10-05T08:35:59Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","46.21.147.71","Malicious IP address associated with APT group IRON TWILIGHT using LoJack","2018-10-05T08:34:11Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","46.21.147.76","Malicious IP address associated with APT group IRON TWILIGHT using LoJack","2018-10-05T08:34:11Z","52.3783","4.90599","NL","Amsterdam, Netherlands"
"CTU Malicious IP Watchlist","46.166.160.24","GOLD KINGSWOOD C2 or loader IP","2018-09-05T02:37:07Z","55.8984","23.3758","LT","Siauliai, Lithuania"
"CTU Malicious IP Watchlist","51.255.53.184","Meterpreter C2 (APT Activity)","2018-05-18T15:36:05Z","53.3963","-2.57326","UK","Warrington, UK"
"CTU Malicious IP Watchlist","54.37.104.106","Malicious IP address associated with APT group IRON TWILIGHT using LoJack","2018-10-05T08:34:11Z","40.5582","-74.2872","US","Woodbridge, United States"
"CTU Malicious IP Watchlist","59.90.93.97","TYPEFRAME infrastructure used by HIDDEN COBRA/NICKEL ACADEMY actors","2018-06-21T04:46:44Z","29.4327","76.9074","IN","Panipat, India"
"CTU Malicious IP Watchlist","60.244.52.29","BRONZE CANAL/PLEAD/TSCookie infrastructure reported by JP-CERT on March 2018","2018-07-12T20:03:35Z","25.0389","121.509","TW","Taipei, Taiwan"
"CTU Malicious IP Watchlist","62.76.45.2","GOLD KINGSWOOD C2 or loader IP","2018-09-05T02:37:07Z","55.7616","37.6411","RU","Moscow, Russia"
"CTU Malicious IP Watchlist","62.76.179.147","GOLD KINGSWOOD C2","2018-09-07T04:35:57Z","55.7616","37.6411","RU","Moscow, Russia"
"CTU Malicious IP Watchlist","76.7.99.12","C2 used by SamSam malware","2018-03-02T11:30:56Z","36.3739","-82.445","US","Johnson City, United States"
"CTU Malicious IP Watchlist","79.172.242.87","IP address used as C2 in QuasarRAT phishing campaign","2018-11-05T18:20:51Z","47.5464","19.0822","HU","Budapest, Hungary"
"CTU Malicious IP Watchlist","80.82.64.91","Fallchill C2 server seen in Operation AppleJeus","2018-08-28T00:16:30Z","52.0721","4.39956","NL","The Hague, Netherlands"
"CTU Malicious IP Watchlist","80.91.118.45","TYPEFRAME infrastructure used by HIDDEN COBRA/NICKEL ACADEMY actors","2018-06-21T04:46:44Z","41.3311","19.8318","AL","Tirana, Albania"
"CTU Malicious IP Watchlist","80.208.224.180","GOLD KINGSWOOD C2 infrastructure","2018-08-06T04:30:32Z","55.6751","12.5718","DK","Copenhagen, Denmark"
"CTU Malicious IP Watchlist","82.118.242.243","IP used by BRONZE MOHAWK for SMB credential theft. (APT Activity)","2018-11-15T14:56:09Z","42.6976","23.3223","BG","Sofia, Bulgaria"
"CTU Malicious IP Watchlist","84.200.32.184","Hosts GOLD KINGSWOOD maldoc","2018-03-22T00:49:55Z","49.5066","8.20881","DE","Freinsheim, Germany"
"CTU Malicious IP Watchlist","85.143.166.99","GOLD KINGSWOOD C2","2018-09-07T04:35:57Z","59.939","30.3158","RU","St Petersburg, Russia"
"CTU Malicious IP Watchlist","85.204.124.77","Malicious IP address associated with APT group IRON TWILIGHT using LoJack","2018-10-05T08:34:11Z","44.4599","26.1333","RO","Bucharest, Romania"
"CTU Malicious IP Watchlist","86.105.1.123","Malicious IP address associated with XTUNNEL malware used by APT group IRON TWILIGHT","2018-10-05T08:35:16Z","45.1392","24.6792","RO","Curtea De Arges, Romania"
"CTU Malicious IP Watchlist","86.106.131.54","Malicious IP address associated with APT group IRON TWILIGHT using LoJack","2018-10-05T08:34:11Z","45.1392","24.6792","RO","Curtea De Arges, Romania"
"CTU Malicious IP Watchlist","88.77.8.9","C2 used by SamSam malware","2018-03-02T11:30:56Z","51.4813","7.112","DE","Bochum, Germany"
"CTU Malicious IP Watchlist","89.37.226.106","Malicious IP address associated with XTUNNEL malware used by APT group IRON TWILIGHT","2018-10-05T08:35:16Z","44.4599","26.1333","RO","Bucharest, Romania"
"CTU Malicious IP Watchlist","89.45.67.153","Malicious IP address associated with ZEBROCY malware used by APT group IRON TWILIGHT","2018-10-05T08:35:59Z","45.1392","24.6792","RO","Curtea De Arges, Romania"
"CTU Malicious IP Watchlist","89.47.162.154","GOLD KINGSWOOD C2 infrastructure","2018-08-06T04:30:32Z","45.1392","24.6792","RO","Curtea De Arges, Romania"
"CTU Malicious IP Watchlist","89.249.65.220","C2 reported by VnCERT; likely NICKEL GLADSTONE","2018-07-27T00:14:29Z","53.4804","-2.24726","UK","Manchester, UK"
"CTU Malicious IP Watchlist","91.210.107.241","Meterpreter C2 (APT Activity)","2018-05-28T11:27:52Z","55.7616","37.6411","RU","Moscow, Russia"
"CTU Malicious IP Watchlist","91.230.121.86","GOLD KINGSWOOD C2","2018-09-07T04:35:57Z","50.4409","30.5272","UA","Kiev, Ukraine"
