"WatchList","HostAddress","ReasonAdded","MemberSince"
"abuse.ch ZeuS Tracker Domain Watchlist","cartopei.com","ZeuS Tracker Domain Blocklist","2018-10-16T00:55:04Z",
"abuse.ch ZeuS Tracker Domain Watchlist","casaroyai.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","clnp.eu","ZeuS Tracker Domain Blocklist","2018-10-19T00:55:04Z",
"abuse.ch ZeuS Tracker Domain Watchlist","dau43vt5wtrd.tk","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","domnicpeter.in.net","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","dzitech.net","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","ebesee.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","front.postmaster.services","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","hi-j.com","ZeuS Tracker Domain Blocklist","2018-08-11T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","hruner.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","hui-ain-apparel.tk","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","ice.ip64.net","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","interlogistics.com.vn","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","ivansaru.418.com1.ru","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","kesikelyaf.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","kntksales.tk","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","l3d.pp.ru","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","l3d1.pp.ru","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","lzediamike.trade","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","machine.cu.ma","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","maminoleinc.tk","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","mecod.expresslinkcourier.online","ZeuS Tracker Domain Blocklist","2018-10-02T00:55:04Z",
"abuse.ch ZeuS Tracker Domain Watchlist","metalexvietnamreed.tk","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","nasscomminc.tk","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","ns511849.ip-192-99-19.net","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","ns513726.ip-192-99-148.net","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","nsdic.pp.ru","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","panel.vargakragard.se","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","platinum-casino.ru","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","projects.globaltronics.net","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","sanyai-love.rmu.ac.th","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","server.bovine-mena.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","servmill.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","ssl.sinergycosmetics.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","telefonfiyatlari.org","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","update.rifugiopontese.it","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","vodahelp.sytes.net","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","www.antibasic.ga","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","www.nikey.cn","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","www.poloatmer.ru","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:05Z",
"abuse.ch ZeuS Tracker Domain Watchlist","www.slapintins.publicvm.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:06Z",
"abuse.ch ZeuS Tracker Domain Watchlist","www.witkey.com","ZeuS Tracker Domain Blocklist","2018-07-22T00:55:06Z",
"CTU Malicious Domain Watchlist","0756rz.com","NICKEL FOXCROFT infrastructure","2018-04-27T05:15:22Z",
"CTU Malicious Domain Watchlist","0utl00k.net","C2 server for phishing & credential harvesting, used by DREXEL","2018-08-09T16:25:09Z",
"CTU Malicious Domain Watchlist","10vs.net","NICKEL FOXCROFT infrastructure","2018-04-27T05:15:22Z",
"CTU Malicious Domain Watchlist","1113427185.ifastnet.org","C2 domain observed in OPERATION HONEYBEE","2018-03-02T14:14:30Z",
"CTU Malicious Domain Watchlist","14-tracking.com","Domain potentially related to the Pegasus malware used by NGO Group","2018-09-19T08:37:57Z",
"CTU Malicious Domain Watchlist","168va.com","NICKEL FOXCROFT infrastructure","2018-04-27T05:15:22Z",
"CTU Malicious Domain Watchlist","1996hengyou.com","NICKEL FOXCROFT infrastructure","2018-04-27T05:15:22Z",
"CTU Malicious Domain Watchlist","226706-3.vm.clodoserver.ru","GOLD KINGSWOOD C2 or loader domain","2018-09-05T02:35:29Z",
"CTU Malicious Domain Watchlist","2bunny.com","Known malware c2/phishing domain used by BRONZE FIRESTONE (APT Activity)","2018-01-04T14:43:50Z",
"CTU Malicious Domain Watchlist","32player.com","C2 for mobile malware, potentially originating from India","2018-07-26T11:22:54Z",
"CTU Malicious Domain Watchlist","3g2upl4pq6kufc4m.tk","Domain associated with Xbash malware used by Iron Group","2018-09-19T08:50:35Z",
"CTU Malicious Domain Watchlist","51xz8.com","NICKEL FOXCROFT infrastructure","2018-04-27T05:15:23Z",
"CTU Malicious Domain Watchlist","54or3rods13.top","Confirmed Zeus Panda C2 [E-Crime Activity]","2018-11-01T17:07:32Z",
"CTU Malicious Domain Watchlist","683gvk34h.theworkpc.com","C2 Domains for CannibalRAT","2018-03-01T09:40:19Z",
"CTU Malicious Domain Watchlist","80m533tr356.top","Confirmed Zeus Panda C2 [E-Crime Activity]","2018-11-01T17:07:32Z",
"CTU Malicious Domain Watchlist","8a2be2.com","ccleaner c2","2018-05-11T15:38:12Z",
"CTU Malicious Domain Watchlist","9400d3.com","ccleaner c2","2018-05-11T15:38:12Z",
"CTU Malicious Domain Watchlist","BASNEVS.COM","ISMDOOR C2 domain.  Uses a DNS based C2 protocol (APT Activity)","2018-04-03T15:10:31Z",
"CTU Malicious Domain Watchlist","Bqnabanejkvmpyb.com","DGA domains associated with ShadowPad threat activity. Documented in: https://securelist.com/shadowpad-in-corporate-networks/81432/","2017-08-17T11:00:04Z",
"CTU Malicious Domain Watchlist","Fadojcfipgh.com","DGA domains associated with ShadowPad threat activity. Documented in: https://securelist.com/shadowpad-in-corporate-networks/81432/","2017-08-17T11:00:04Z",
"CTU Malicious Domain Watchlist","Mydreamhoroscope.com","IRON HUNTER c2 infrastructure - (APT Activity)","2018-02-16T14:49:02Z",
"CTU Malicious Domain Watchlist","Notyraxqrctmnir.com","DGA domains associated with ShadowPad threat activity. Documented in: https://securelist.com/shadowpad-in-corporate-networks/81432/","2017-08-17T11:00:04Z",
"CTU Malicious Domain Watchlist","Ryfmzcpuxyf.com","DGA domains associated with ShadowPad threat activity. Documented in: https://securelist.com/shadowpad-in-corporate-networks/81432/","2017-08-17T11:00:04Z",
"CTU Malicious Domain Watchlist","Soligro.com","IRON HUNTER c2 infrastructure - (APT Activity)","2018-02-16T14:49:01Z",
"CTU Malicious Domain Watchlist","Tshylahobob.com","DGA domains associated with ShadowPad threat activity. Documented in: https://securelist.com/shadowpad-in-corporate-networks/81432/","2017-08-17T11:00:04Z",
"CTU Malicious Domain Watchlist","Vmvahedczyrml.com","DGA domains associated with ShadowPad threat activity. Documented in: https://securelist.com/shadowpad-in-corporate-networks/81432/","2017-08-17T11:00:04Z",
"CTU Malicious Domain Watchlist","Xcxmtyvwhonod.com","DGA domains associated with ShadowPad threat activity. Documented in: https://securelist.com/shadowpad-in-corporate-networks/81432/","2017-08-17T11:00:04Z",
"CTU Malicious Domain Watchlist","a020f0.com","ccleaner c2","2018-05-11T15:38:12Z",
"CTU Malicious Domain Watchlist","accbt.dermnd.com","C2 for PLUGX - APT Malware (APT Activity)","2017-12-01T12:27:38Z",
"CTU Malicious Domain Watchlist","account-signin-myaccount-users.ga","COBALT SPRUCE/COBALT ORIOLE Phishing Domain - (APT Activity)","2018-01-02T19:13:26Z",
"CTU Malicious Domain Watchlist","accountrecovery.top","COBALT GYPSY (CK / Newsbeef) operated domain. May be used for phishing and/or malware C2 (APT Activity)","2018-05-21T13:27:33Z",
"CTU Malicious Domain Watchlist","acivo.serveblog.net","RatN C2 associated with BRONZE HUNTLEY (APT Activity)","2018-08-17T16:11:43Z",
"CTU Malicious Domain Watchlist","acrobatverify.com","Suspected ALPINE threat group operated domain based on infrastructure analysis.  Likely malware C2.  May use DNS tunneling. (APT Activity)","2018-04-24T13:30:28Z",
"CTU Malicious Domain Watchlist","activationstate.sytes.net","InvisiMole Malware C2 Domain (APT Activity)","2018-06-07T18:16:25Z",
"CTU Malicious Domain Watchlist","activrt.com","GOLD KINGSWOOD C2 or loader domain","2018-09-05T02:35:29Z",
"CTU Malicious Domain Watchlist","adderallloader.cf","Adderall Loader Malware Retrieving Payload","2018-04-04T17:50:10Z",
"CTU Malicious Domain Watchlist","adobe-flash.us","Sorgu malware C2 domain.  Linked to threat group HILLCREST (APT Activity)","2018-07-23T11:23:04Z",
"CTU Malicious Domain Watchlist","adobe-plugin.bid","Sorgu malware C2 domain.  Linked to threat group HILLCREST (APT Activity)","2018-07-23T11:23:04Z",
"CTU Malicious Domain Watchlist","adobeonline.net","Suspected ALPINE threat group operated domain based on infrastructure analysis.  Likely malware C2.  May use DNS tunneling. (APT Activity)","2018-04-24T13:30:28Z",
"CTU Malicious Domain Watchlist","advstatecheck.sytes.net","InvisiMole Malware C2 Domain (APT Activity)","2018-06-07T18:16:24Z",
"CTU Malicious Domain Watchlist","agony.compress.to","verified C2 for IRON HUNTER (APT Activity)","2018-01-11T18:39:04Z",
"CTU Malicious Domain Watchlist","akamai-technology.com","GOLD KINGSWOOD C2","2018-09-10T01:29:11Z",
"CTU Malicious Domain Watchlist","akamai.sytes.net","InvisiMole Malware C2 Domain (APT Activity)","2018-06-07T18:16:24Z",
"CTU Malicious Domain Watchlist","akamaicdn.ru","Vermin RAT C2","2018-07-20T13:55:18Z",
"CTU Malicious Domain Watchlist","akamainet021.info","Vermin RAT C2","2018-07-20T13:55:18Z",
"CTU Malicious Domain Watchlist","akamainet022.info","Vermin RAT C2","2018-07-20T13:55:18Z",
"CTU Malicious Domain Watchlist","akamainet023.info","Vermin RAT C2","2018-07-20T13:55:18Z",
"CTU Malicious Domain Watchlist","akamainet024.info","Vermin RAT C2","2018-07-20T13:55:18Z",
"CTU Malicious Domain Watchlist","akamainet066.info","Vermin RAT C2","2018-07-20T13:55:18Z",
"CTU Malicious Domain Watchlist","akhbar-arabia.com","Domain potentially related to the Pegasus malware used by NGO Group","2018-09-19T08:37:58Z",
"CTU Malicious Domain Watchlist","alibabacloud.dynamic-dns.net","KeyBoy Trojan C2 Domain (APT Activity)","2018-10-11T18:26:36Z",
"CTU Malicious Domain Watchlist","alibabacloud.wikaba.com","KeyBoy Trojan C2 Domain (APT Activity)","2018-10-11T18:26:36Z",
"CTU Malicious Domain Watchlist","alibabacloud.zzux.com","KeyBoy Trojan C2 Domain (APT Activity)","2018-10-11T18:26:36Z",
"CTU Malicious Domain Watchlist","alonehouse.com","C2 domain associated with BRONZE FLEETWOOD","2018-10-29T11:09:44Z",
"CTU Malicious Domain Watchlist","analytics-google.org","COBALT GYPSY C2 domain (Newsbeef activity related) (APT Activity)","2018-01-30T09:18:56Z",
"CTU Malicious Domain Watchlist","androidbak.com","Android Malware C2 domain associated with threat group SHADYSIDE (aka ARID VIPER) (APT Activity)","2017-11-23T14:41:38Z",
"CTU Malicious Domain Watchlist","androidmobgate.com","Android Malware C2 domain associated with threat group SHADYSIDE (aka ARID VIPER) (APT Activity)","2017-11-23T14:41:38Z",
"CTU Malicious Domain Watchlist","animal-politico.com","Domain potentially related to the Pegasus malware used by NGO Group","2018-09-19T08:37:58Z",
"CTU Malicious Domain Watchlist","anlway.com","Manuscrypt C2","2018-08-28T00:29:53Z",
"CTU Malicious Domain Watchlist","ap8898.com","Manuscrypt C2","2018-08-28T00:29:53Z",
"CTU Malicious Domain Watchlist","api.leakingprivacy.tk","Domain associated with Xbash malware used by Iron Group","2018-09-19T08:50:35Z",
"CTU Malicious Domain Watchlist","apk36501.flnet.org","BRONZE CANAL/PLEAD/TSCookie infrastructure reported by JP-CERT","2018-07-12T20:07:00Z",
"CTU Malicious Domain Watchlist","app.kartop.at","Gozi ISFB C2 Domain","2018-08-22T21:31:27Z",
"CTU Malicious Domain Watchlist","appinfo.fairuse.org","BRONZE CANAL/PLEAD/TSCookie infrastructure reported by JP-CERT","2018-07-12T20:07:00Z",
"CTU Malicious Domain Watchlist","appswonder.info","C2 for mobile malware, potentially originating from India","2018-07-26T11:22:54Z",
"CTU Malicious Domain Watchlist","apshenyihl.com","Manuscrypt C2","2018-08-28T00:29:53Z",
"CTU Malicious Domain Watchlist","apstore.info","GOLD_KINGSWOOD hosting and lure domains","2018-07-19T03:19:18Z",
"CTU Malicious Domain Watchlist","aramcojobs.ddns.net","Malicious Domain imitating Saudi Aramco. Malware staging and C2. (APT Activity)","2018-10-01T09:19:03Z",
"CTU Malicious Domain Watchlist","army.xxuz.com","C2 for PLUGX - APT Malware (APT Activity)","2017-12-01T12:27:32Z",
"CTU Malicious Domain Watchlist","aryastark.info","Suspected malware c2 / phishing domain operated by SHADYSIDE (APT Activity)","2017-12-20T16:08:12Z",
"CTU Malicious Domain Watchlist","ayakac.tk","C2 domain linked to COBALT HICKMAN. Used for DNS based command and control (APT Activity)","2018-03-28T16:30:20Z",
"CTU Malicious Domain Watchlist","b-tor.ru","Associated with XMRig Monero malware","2018-03-02T08:51:59Z",
"CTU Malicious Domain Watchlist","basepack.org","COBALT TRINITY C2 Domain (APT Activity)","2018-09-26T16:23:11Z",
"CTU Malicious Domain Watchlist","bbcweather.org","Malicious domain associated with X-AGENT malware used by APT group IRON TWILIGHT","2018-10-05T08:27:29Z",
"CTU Malicious Domain Watchlist","beauty-expert.net","Possible IRON HUNTER C2 (APT Activity)","2018-04-11T15:04:10Z",
"CTU Malicious Domain Watchlist","befrodet.top","Parasite HTTP RAT C2 Domain","2018-07-27T16:57:02Z",
"CTU Malicious Domain Watchlist","beststreammusic.com","Malicious domain associated with X-AGENT malware used by APT group IRON TWILIGHT","2018-10-05T08:27:30Z",
"CTU Malicious Domain Watchlist","bigpen.ga","verified C2 for IRON HUNTER (APT Activity)","2018-01-11T18:39:04Z",
"CTU Malicious Domain Watchlist","bkmail.blogdns.com","Bookworm Malware C2 Domain (APT Activity)","2018-07-24T20:46:10Z",
"CTU Malicious Domain Watchlist","blacklist-test.secureworks.com","TEST - Dell SecureWorks AttackerDB Customer Test Event (non-malicious)","2015-04-22T15:27:58Z",
"CTU Malicious Domain Watchlist","blog.flyingwithme.com","C2 for PLUGX - APT Malware (APT Activity)","2017-12-01T12:27:38Z",
"CTU Malicious Domain Watchlist","bookmarklies.com","KeyBoy Trojan C2 Domain (APT Activity)","2018-10-11T18:26:36Z",
"CTU Malicious Domain Watchlist","broadcast-news.info","COBALT GYPSY C2 Servers (APT Activity)","2018-11-09T20:23:29Z",
"CTU Malicious Domain Watchlist","brownvelocity.org","Malicious domain associated with X-AGENT malware used by APT group IRON TWILIGHT","2018-10-05T08:27:30Z",
"CTU Malicious Domain Watchlist","btc-int.in","C2 domain linked to threat group HILLCREST (APT Activity)","2018-07-26T12:56:40Z",
"CTU Malicious Domain Watchlist","bulgariatripholidays.com","Malicious domain associated with X-AGENT malware used by APT group IRON TWILIGHT","2018-10-05T08:27:29Z",
"CTU Malicious Domain Watchlist","capsnit.com","C2 for mobile malware, potentially originating from India","2018-07-26T11:22:54Z",
"CTU Malicious Domain Watchlist","carcolors.effers.com","BRONZE CANAL/PLEAD/TSCookie infrastructure reported by JP-CERT","2018-07-12T20:07:01Z",
"CTU Malicious Domain Watchlist","cdn-googleapi.com","GOLD NIAGARA C2","2018-09-10T01:06:28Z",
"CTU Malicious Domain Watchlist","cdn-googleservice.com","GOLD NIAGARA C2","2018-09-10T01:06:28Z",
"CTU Malicious Domain Watchlist","cdnakamai.ru","Vermin RAT C2","2018-07-20T13:55:18Z",
"CTU Malicious Domain Watchlist","cdnakm.gq","C2 domain linked to COBALT HICKMAN. Used for DNS based command and control (APT Activity)","2018-03-28T16:30:20Z",
"CTU Malicious Domain Watchlist","cecilia-gilbert.com","Suspected malware c2 / phishing domain operated by SHADYSIDE (APT Activity)","2017-04-05T16:24:06Z",
"CTU Malicious Domain Watchlist","celasllc.com","malware distribution URL seen in Operation AppleJeus","2018-08-28T00:17:31Z",
"CTU Malicious Domain Watchlist","cerseilannister.info","Suspected malware c2 / phishing domain operated by SHADYSIDE (APT Activity)","2017-12-20T16:08:12Z",
"CTU Malicious Domain Watchlist","cgalim.com","infrastructure for KevDroid","2018-04-27T05:10:30Z",
"CTU Malicious Domain Watchlist","charter-paradise.com","Confirmed Zeus Panda C2 [E-Crime Activity]","2018-11-01T17:07:32Z",
"CTU Malicious Domain Watchlist","chat.lasmail.com","C2 for LURID - APT Malware (APT Activity)","2017-12-01T12:10:56Z",
"CTU Malicious Domain Watchlist","claire-browne.info","Suspected malware c2 / phishing domain operated by SHADYSIDE (APT Activity)","2017-12-20T16:08:12Z",
"CTU Malicious Domain Watchlist","clarkatkins.com","Associated with EmerySpear.com/SpicyOmelette activity (possibly APT Activity)","2018-08-06T21:49:04Z",
"CTU Malicious Domain Watchlist","click-alfa.com","GOLD KINGSWOOD malware C2 domain (APT Activity)","2018-08-20T09:20:32Z",
"CTU Malicious Domain Watchlist","cloudsend.net","Known malware c2/phishing domain used by BRONZE FIRESTONE (APT Activity)","2018-01-04T14:43:50Z",
"CTU Malicious Domain Watchlist","cloudyservs.com","CloudyRAT C2 domain associated with threat group SHADYSIDE (aka ARID VIPER) (APT Activity)","2017-11-23T08:13:03Z",
"CTU Malicious Domain Watchlist","coindmarket.com","Malicious domain associated with X-AGENT malware used by APT group IRON TWILIGHT","2018-10-05T08:27:30Z",
"CTU Malicious Domain Watchlist","com-cloudverification.top","COBALT GYPSY (CK / Newsbeef) operated domain. May be used for phishing and/or malware C2 (APT Activity)","2018-05-21T13:27:33Z",
"CTU Malicious Domain Watchlist","com-identifier-servicelog.info","COBALT GYPSY C2 Servers (APT Activity)","2018-11-09T20:23:29Z",
"CTU Malicious Domain Watchlist","com-onlineservice-recovery.top","COBALT GYPSY (CK / Newsbeef) operated domain. May be used for phishing and/or malware C2 (APT Activity)","2018-05-21T13:27:31Z",
"CTU Malicious Domain Watchlist","com-recoverysecureuser.club","COBALT GYPSY (CK / Newsbeef) operated domain. May be used for phishing and/or malware C2 (APT Activity)","2018-05-21T13:27:33Z",
"CTU Malicious Domain Watchlist","com-recoverysupport.club","COBALT GYPSY (CK / Newsbeef) operated domain. May be used for phishing and/or malware C2 (APT Activity)","2017-12-12T20:23:10Z",
"CTU Malicious Domain Watchlist","comedata.ignorelist.com","C2 for PLUGX - APT Malware (APT Activity)","2017-12-01T12:27:33Z",
"CTU Malicious Domain Watchlist","compass.plus","GOLD KINGSWOOD C2","2018-09-07T04:29:02Z",
"CTU Malicious Domain Watchlist","comuni.winxpibm.com","C2 for LURID - APT Malware (APT Activity)","2017-12-01T12:10:55Z",
"CTU Malicious Domain Watchlist","confirm-session-identification.info","COBALT GYPSY C2 Servers (APT Activity)","2018-11-09T20:23:28Z",
"CTU Malicious Domain Watchlist","confirm-verification-process.systems","COBALT GYPSY (CK / Newsbeef) operated domain. May be used for phishing and/or malware C2 (APT Activity)","2018-05-21T13:27:33Z",
"CTU Malicious Domain Watchlist","cosmeticawards.space","Panda Zeus C2 Domain [E-Crime Activity]","2018-10-11T13:57:40Z",
"CTU Malicious Domain Watchlist","cpuproc.com","Trichuris/QUADAGENT C2 - (APT Activity)","2018-07-10T16:57:06Z",
"CTU Malicious Domain Watchlist","creekcounty.net","Malicious domain associated with X-AGENT malware used by APT group IRON TWILIGHT","2018-10-05T08:27:29Z",
"CTU Malicious Domain Watchlist","customize-identity.info","COBALT GYPSY C2 Servers (APT Activity)","2018-11-09T20:23:28Z",
"CTU Malicious Domain Watchlist","d3goboxon32grk2l.tk","Domain associated with Xbash malware used by Iron Group","2018-09-19T08:50:35Z",
"CTU Malicious Domain Watchlist","daario-naharis.info","Suspected malware c2 / phishing domain operated by SHADYSIDE (APT Activity)","2017-12-20T16:08:12Z",
"CTU Malicious Domain Watchlist","daddy.gostudyantivirus.com","C2 for PLUGX - APT Malware (APT Activity)","2017-12-01T12:27:34Z",
"CTU Malicious Domain Watchlist","daknobcq4zal6vbm.tk","Domain associated with Xbash malware used by Iron Group","2018-09-19T08:50:35Z",
"CTU Malicious Domain Watchlist","daumattchment.000webhostapp.com","NICKEL FOXCROFT infrastructure","2018-08-03T22:23:44Z",
"CTU Malicious Domain Watchlist","daysheduler.org","Malicious domain associated with X-AGENT malware used by APT group IRON TWILIGHT","2018-10-05T08:27:29Z",
"CTU Malicious Domain Watchlist","debain.servehttp.com","Bookworm Malware C2 Domain (APT Activity)","2018-07-24T20:46:10Z",
"CTU Malicious Domain Watchlist","dhow.xyz","Known malware c2/phishing domain used by BRONZE FIRESTONE (APT Activity)","2018-01-04T14:43:50Z",
"CTU Malicious Domain Watchlist","displayeditor.com","Possible COBALT TRINITY C2 Domain (APT Activity)","2018-10-01T10:12:39Z",
"CTU Malicious Domain Watchlist","dnrsolve.gq","C2 domain linked to COBALT HICKMAN. Used for DNS based command and control (APT Activity)","2018-03-28T16:30:20Z",
"CTU Malicious Domain Watchlist","dns.cdncool.com","C2 for PLUGX - APT Malware (APT Activity)","2017-12-01T12:27:36Z",
"CTU Malicious Domain Watchlist","dns1.jptechco.org","C2 for PLUGX - APT Malware (APT Activity)","2017-12-01T12:27:37Z",
